SERIE A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Miguel Kazan,Recife-PE,,,,,,,,,,,
TikTok,413,421,,,,,8,"1,94%",-413,"-100,00%",,,https://www.tiktok.com/@wellinngtonpe_ofc?lang=pt
X,6,6,,,,,0,"0,00%",-6,"-100,00%",,,https://x.com/WRomeilto
Youtube,43,43,,,,,0,"0,00%",-43,"-100,00%",,,https://www.youtube.com/@Wellingtonpe_ofc
Kawai,404,415,,,,,11,"2,72%",-404,"-100,00%",,,https://k.kwai.com/u/@Wellingtonpe_ofc/Js5Rb6C6
Total,2.909,2.982,0,0,0,0,73,"2,51%",-2.909,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Felix Santos,felixsantos.rn,Rio Grande do Norte,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,1.341,1350,,,,,9,"0,67%",-1.341,"-100,00%",,,https://www.instagram.com/felixsantos.rn
TikTok,219,224,,,,,5,"2,28%",-219,"-100,00%",,,https://www.tiktok.com/@felixsantos.rn
X,37,35,,,,,-2,"-5,41%",-37,"-100,00%",,,https://x.com/felixsantosrn
Youtube,26,26,,,,,0,"0,00%",-26,"-100,00%",,,https://www.youtube.com/@felixsantosrn?si=2mCvVo1G_SFtWY8Drn?si=2mCvVo1G_SFtWY8D
Kawai,282,293,,,,,11,"3,90%",-282,"-100,00%",,, https://kwai-video.com/u/@felixsantos.rn/CqugKYAF
Total,1.905,1.928,0,0,0,0,23,"1,21%",-1.905,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Leandro Gêmeos,,Paraíba,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,680,683,,,,,3,"0,44%",-680,"-100,00%",,,https://www.instagram.com/le0_pb/
TikTok,202,202,,,,,0,"0,00%",-202,"-100,00%",,,https://www.tiktok.com/@leandrof.pb
X,10,10,,,,,0,"0,00%",-10,"-100,00%",,,https://x.com/leandroffpb
Youtube,64,64,,,,,0,"0,00%",-64,"-100,00%",,,https://www.youtube.com/@leandroffpb
Kawai,135,135,,,,,0,"0,00%",-135,"-100,00%",,,https://www.kwai.com/@leandrochamie
Total,1.091,1.094,0,0,0,0,3,"0,27%",-1.091,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,João Gêmeos,,Paraíba,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,1.097,1.110,,,,,13,"1,19%",-1.097,"-100,00%",,,https://www.instagram.com/freitasspb/
TikTok,453,849,,,,,396,"87,42%",-453,"-100,00%",,,https://www.tiktok.com/@freitasspb?_t=ZM-8xgw9FXvSKL&_r=1
X,18,18,,,,,0,"0,00%",-18,"-100,00%",,,https://x.com/FreitasChamie
Youtube,128,131,,,,,3,"2,34%",-128,"-100,00%",,,https://www.youtube.com/@freitaspb?si=51llKP_6CRwEywRv
Kawai,222,230,,,,,8,"3,60%",-222,"-100,00%",,,https://www.kwai.com/@FreitassPB
Total,1.918,2.338,0,0,0,0,420,"21,90%",-1.918,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Bismark,,Pernambuco,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,1.634,1.796,,,,,162,"9,91%",-1.634,"-100,00%",,,https://www.instagram.com/bismark.pe/
TikTok,225,230,,,,,5,"2,22%",-225,"-100,00%",,,https://www.tiktok.com/@bismark.pe
X,99,99,,,,,0,"0,00%",-99,"-100,00%",,,https://x.com/BismarkPe
Youtube,1070,1070,,,,,0,"0,00%",-1.070,"-100,00%",,,https://www.youtube.com/@bismarkpe
Kawai,226,242,,,,,16,"7,08%",-226,"-100,00%",,,https://k.kwai.com/u/@bismark.pe/CzsNdVB8
Total,3.254,3.437,0,0,0,0,183,"5,62%",-3.254,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Matheus Portela,filosofo_digital,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,1.637,1.662,,,,,25,"1,53%",-1.637,"-100,00%",,,https://www.instagram.com/filosofo_digital
TikTok,94,96,,,,,2,"2,13%",-94,"-100,00%",,,https://www.tiktok.com/@filosofodigital?_t=ZM-8xdmlCHETRe&_r=1
X,42,45,,,,,3,"7,14%",-42,"-100,00%",,,https://x.com/F1losofodigital
Youtube,359,360,,,,,1,"0,28%",-359,"-100,00%",,,https://www.youtube.com/@filosofo_digital?si=CasJsIt6T5HoHUB7
Kawai,20,20,,,,,0,"0,00%",-20,"-100,00%",,,https://www.kwai.com/@filosofo_digital
Total,2.152,2.183,0,0,0,0,31,"1,44%",-2.152,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Jhon,JohnRobertPA,Pará,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,2.424,2.425,,,,,1,"0,04%",-2.424,"-100,00%",,,https://www.instagram.com/johnrobertpa/
TikTok,898,900,,,,,2,"0,22%",-898,"-100,00%",,,https://www.tiktok.com/@johnrobertpa?lang=pt
X,435,435,,,,,0,"0,00%",-435,"-100,00%",,,https://x.com/JohnRobertPA
Youtube,47,47,,,,,0,"0,00%",-47,"-100,00%",,,https://www.youtube.com/@johnrobertpa
Kawai,135,137,,,,,2,"1,48%",-135,"-100,00%",,,https://k.kwai.com/u/@johnrobertpa/CIp5PFVu
Total,3.939,3.944,0,0,0,0,5,"0,13%",-3.939,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Arquivo da Onça,Recife-PE,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,1.956,2.156,,,,,200,"10,22%",-1.956,"-100,00%",,,https://www.instagram.com/arquivo_da_onca/
TikTok,967,986,,,,,19,"1,96%",-967,"-100,00%",,,https://www.tiktok.com/@arquivodaonca
X,19,19,,,,,0,"0,00%",-19,"-100,00%",,,https://x.com/arquivo_da_onca?t=l1xwKQlK9af10aZ7PhK1Hw&s=08
Youtube,71,71,,,,,0,"0,00%",-71,"-100,00%",,,youtube.com/@arquivodaonca?si=4xJjpwB9_I_4PcrY
Kawai,183,184,,,,,1,"0,55%",-183,"-100,00%",,,https://www.kwai.com/@arquivodaonca
Total,3.196,3.416,0,0,0,0,220,"6,88%",-3.196,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Lucas Cavalcanti,Olinda,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,2.214,2.920,,,,,706,"31,89%",-2.214,"-100,00%",,,https://www.instagram.com/lucasvcavalcanti/
TikTok,616,638,,,,,22,"3,57%",-616,"-100,00%",,,https://www.tiktok.com/@lucasvcavalcantipe
